Exam1,Exam2,Attendance,Next_exam
65,55,72,62
72,82,50,77
97,90,70,98
80,42,15,79
32,80,49,65
50,73,88,68
63,67,85,62
97,70,84,65
57,93,60,88
60,58,92,53
83,36,91,31
48,22,91,35
98,72,74,80
65,90,99,80
55,59,75,54
62,65,58,60
80,87,79,82
49,10,80,50
55,67,88,94
77,44,61,62
97,39,75,39
98,85,54,97
90,80,83,85
89,50,55,80
57,13,68,45
34,12,44,45
92,13,45,80
29,93,80,70
75,79,87,80
13,11,82,88
40,58,59,74
56,37,75,47
49,64,82,53
60,98,76,92
83,77,81,32
69,38,82,59
99,67,64,97
48,73,82,80
87,80,71,72
27,39,56,33
54,54,82,61
92,39,80,68
33,38,35,37
67,68,74,34
28,47,62,49
97,86,72,91
56,63,55,91
63,81,63,33
70,92,54,63
29,22,10,42
44,33,78,70
29,90,79,58
86,47,89,76
28,25,88,87
97,52,52,80
58,74,68,28
37,64,86,85
64,74,50,69
53,95,39,42
71,34,91,50
82,48,32,47
95,91,80,97
97,85,84,96
80,73,33,69
92,74,21,59
37,60,80,69
55,85,42,90
95,34,14,29
42,71,19,43
92,41,20,41
91,61,12,80
64,63,67,68
54,95,11,69
64,32,45,55
85,56,41,80
24,80,44,90
38,57,24,66
36,21,89,36
75,66,33,56
63,94,54,58
64,75,47,90
50,23,18,27
75,30,31,51
49,76,30,75
61,60,42,94
31,57,77,91
95,72,31,99
51,50,94,52
53,70,44,16
85,15,92,61
22,49,47,89
46,88,68,70
70,85,51,75
89,84,73,83
99,60,70,71
86,92,24,55
94,31,13,52
47,31,49,67
89,74,59,98
56,39,53,80
84,53,63,65
65,35,34,10
13,79,43,44
99,80,23,95
20,39,42,83
66,61,75,80
50,75,36,79
47,54,87,55
62,83,65,87
93,55,12,78
52,68,38,58
60,44,12,69
32,35,60,34
39,80,28,60
90,87,14,30
78,10,30,74
75,59,67,75
74,75,74,34
50,26,64,56
82,76,79,70
21,81,38,49
21,36,90,78
64,64,76,50
29,17,67,63
35,71,38,39
98,56,77,89
25,82,93,75
69,80,13,82
70,35,60,98
29,74,83,50
51,62,51,54
65,72,94,99
44,55,90,70
73,63,64,69
45,54,17,71
58,10,48,76
34,78,26,31
84,79,37,59
70,89,16,75
77,88,49,66
93,52,19,51
88,68,19,77
49,86,49,75
100,50,48,75
94,39,30,69
65,91,63,57
16,32,82,67
66,80,42,50
99,84,26,58
71,33,11,49
26,21,81,50
54,80,14,73
85,42,85,74
61,14,37,84
46,19,82,83
72,20,68,47
70,12,31,63
25,67,89,81
64,11,75,80
52,45,14,34
62,41,58,86
45,44,35,45
53,24,54,75
44,89,22,79
31,33,36,28
68,54,83,61
69,47,65,75
79,18,85,37
100,31,34,90
78,30,73,91
42,42,23,41
58,77,95,62
76,31,59,70
51,94,47,62
29,44,74,60
81,92,73,40
22,47,12,36
70,68,51,39
74,51,88,90
23,73,61,84
11,70,46,28
70,24,12,49
32,13,30,42
97,49,35,90
86,59,51,26
76,53,82,25
10,63,27,37
84,34,53,72
57,43,64,26
64,23,37,59
96,42,44,39
96,75,22,87
35,36,58,96
31,87,80,42
34,65,54,63
14,12,78,94
79,38,72,46
23,12,78,68
44,60,40,65
37,28,18,90
80,14,15,62
21,30,20,44
20,67,27,54
32,74,31,48
67,64,31,58
21,79,78,29
84,38,37,38
34,90,44,100
82,76,52,37
91,67,86,98
37,38,74,70
58,77,42,31
89,93,57,82
41,13,53,60
63,60,53,90
60,83,24,33
14,51,47,70
44,94,40,55
39,90,87,45
49,64,72,90
43,17,27,97
53,48,84,25
24,26,80,62
33,37,23,95
13,16,51,69
32,49,15,91
93,19,62,59
65,19,19,74
26,49,58,33
77,48,28,85
55,30,26,93
86,63,53,71
28,82,24,62
25,42,88,33
50,26,85,72
18,11,58,88
79,81,19,80
92,14,83,55
20,85,80,91
57,37,38,78
90,82,82,46
64,68,20,89
86,31,44,85
54,89,56,59
69,75,47,50
28,14,82,99
80,58,78,43
88,35,24,60
66,54,68,32
57,22,45,70
28,36,23,44
67,83,15,80
83,65,47,14
40,85,11,44
50,34,88,43
86,73,95,80
73,23,11,58
41,95,21,77
84,59,62,37
80,47,24,70
54,74,15,60
69,73,34,76
94,12,40,90
38,51,85,80
16,88,63,32
27,61,30,77
77,46,24,63
39,12,67,26
98,30,31,95
98,35,40,84
39,51,30,70
38,82,23,80
95,27,65,53
20,53,58,30
53,64,79,49
72,37,47,70
32,44,80,31
16,22,42,78
